thresh,biocontrol,type,period,rep,pdoug,avg_pop
0.2,100,100% multi-capsid morphotype,2,12,18,3.0743928280866393
0.2,100,100% multi-capsid morphotype,2,13,18,2.705783899813051
0.2,100,100% multi-capsid morphotype,2,14,18,2.386798199992499
0.2,100,100% multi-capsid morphotype,2,15,18,4.418225838081158
0.2,100,100% multi-capsid morphotype,2,16,18,2.490606159006348
0.2,100,100% multi-capsid morphotype,2,17,18,2.8137763428609017
0.2,100,100% multi-capsid morphotype,2,18,18,3.6640178298509958
0.2,100,100% multi-capsid morphotype,2,19,18,3.607680533814976
0.2,100,100% multi-capsid morphotype,2,20,18,2.45221439770535
0.2,100,100% multi-capsid morphotype,3,1,18,2.9966898927493704
0.2,100,100% multi-capsid morphotype,3,2,18,3.0693913499209873
0.2,100,100% multi-capsid morphotype,3,3,18,3.298074197837064
0.2,100,100% multi-capsid morphotype,3,4,18,3.0536349296826053
0.2,100,100% multi-capsid morphotype,3,5,18,3.4339695288799694
0.2,100,100% multi-capsid morphotype,3,6,18,4.323395436717525
0.2,100,100% multi-capsid morphotype,3,7,18,4.219439648412717
0.2,100,100% multi-capsid morphotype,3,8,18,3.8786628113703983
0.2,100,100% multi-capsid morphotype,3,9,18,3.430388864658921
0.2,100,100% multi-capsid morphotype,3,10,18,2.883858384635001
0.2,100,100% multi-capsid morphotype,3,11,18,2.638525413870714
0.2,100,100% multi-capsid morphotype,3,12,18,3.371875545267833
0.2,100,100% multi-capsid morphotype,3,13,18,3.4988477733292256
0.2,100,100% multi-capsid morphotype,3,14,18,3.4390118635901494
0.2,100,100% multi-capsid morphotype,3,15,18,3.6363760340383173
0.2,100,100% multi-capsid morphotype,3,16,18,4.2166503934431265
0.2,100,100% multi-capsid morphotype,3,17,18,4.2691139633191115
0.2,100,100% multi-capsid morphotype,3,18,18,2.763754691086043
0.2,100,100% multi-capsid morphotype,3,19,18,3.4385753606311145
0.2,100,100% multi-capsid morphotype,3,20,18,2.7687078945988466
0.2,150,100% multi-capsid morphotype,1,1,18,3.3258746897960942
0.2,150,100% multi-capsid morphotype,1,2,18,3.3004652645043815
0.2,150,100% multi-capsid morphotype,1,3,18,2.872371672987828
0.2,150,100% multi-capsid morphotype,1,4,18,4.054555483655934
0.2,150,100% multi-capsid morphotype,1,5,18,4.271659968392149
0.2,150,100% multi-capsid morphotype,1,6,18,3.6868411537392567
0.2,150,100% multi-capsid morphotype,1,7,18,2.906763141167307
0.2,150,100% multi-capsid morphotype,1,8,18,5.253250339184373
0.2,150,100% multi-capsid morphotype,1,9,18,3.380110009753749
0.2,150,100% multi-capsid morphotype,1,10,18,3.799657961071579
0.2,150,100% multi-capsid morphotype,1,11,18,3.9537902332665253
0.2,150,100% multi-capsid morphotype,1,12,18,2.5611915402667713
0.2,150,100% multi-capsid morphotype,1,13,18,3.6524989530824135
