model,mean,sd,se_mean,X25.,X75.,X2.5.,X97.5.,params,level,morph,tree,isolate,param,mod_names,desc
5,0.001602659,0.002238762,1.11e-5,3.34e-4,0.001982404,2.7e-5,0.007484118,"nu_bar_S[2,2]",isolate,SNPV,GR,7,nu,mod35,nu and C vary by morph + tree
5,3.239008162,0.84995739,0.005397931,2.692559457,3.854016823,1.432848712,4.718664388,"C_S[5,1]",isolate,SNPV,DO,10,C,mod35,nu and C vary by morph + tree
5,3.69268127,0.834212124,0.005169639,3.206162823,4.323330537,1.714860469,4.907293402,"C_S[3,1]",isolate,SNPV,DO,8,C,mod35,nu and C vary by morph + tree
5,3.223008738,0.991676344,0.005321297,2.588112063,3.967590616,1.001371188,4.828157385,"C_M[1,2]",isolate,MNPV,GR,1,C,mod56,nu and C vary by morph + tree
5,3.364963753,0.917619415,0.004915747,2.78806602,4.053117305,1.304388085,4.841784032,"C_M[2,2]",isolate,MNPV,GR,2,C,mod56,nu and C vary by morph + tree
5,3.652772486,0.77326479,0.004846159,3.170705731,4.232987808,1.932141841,4.87548724,"C_S[4,1]",isolate,SNPV,DO,9,C,mod35,nu and C vary by morph + tree
5,0.004014448,0.004830907,2.68e-5,0.001060973,0.005119961,9.66e-5,0.016787525,"nu_bar_S[3,2]",isolate,SNPV,GR,8,nu,mod35,nu and C vary by morph + tree
5,0.007060767,0.006121564,3.89e-5,0.003350929,0.00869013,0.001297844,0.022919805,"nu_bar_S[4,2]",isolate,SNPV,GR,9,nu,mod35,nu and C vary by morph + tree
5,0.004573478,0.004536499,2.77e-5,0.001774946,0.005817757,4.27e-4,0.016432564,"nu_bar_S[5,2]",isolate,SNPV,GR,10,nu,mod35,nu and C vary by morph + tree
5,3.215802371,0.994586948,0.005311199,2.57914207,3.966368846,0.99949322,4.817351887,"C_M[1,2]",isolate,MNPV,GR,1,C,mod55,nu and C vary by morph + tree
5,3.232794798,1.029121,0.006669495,2.57571168,4.018606057,0.929078659,4.850371115,"C_S[2,2]",isolate,SNPV,GR,7,C,mod35,nu and C vary by morph + tree
5,3.232582503,1.015493779,0.006679605,2.577025557,4.00801146,0.982618902,4.843334874,"C_S[3,2]",isolate,SNPV,GR,8,C,mod35,nu and C vary by morph + tree
5,2.970502724,1.030827367,0.006811173,2.284339899,3.738246015,0.760837611,4.7327067,"C_S[4,2]",isolate,SNPV,GR,9,C,mod35,nu and C vary by morph + tree
5,3.251550478,1.011594492,0.006839955,2.604854386,4.028486998,0.995275593,4.842415602,"C_S[1,2]",isolate,SNPV,GR,6,C,mod35,nu and C vary by morph + tree
5,3.271632734,1.010222236,0.006653998,2.630975919,4.041136788,0.978835454,4.854018108,"C_S[5,2]",isolate,SNPV,GR,10,C,mod35,nu and C vary by morph + tree
5,3.214547525,1.031088003,0.00514189,2.550034715,4.006291413,0.911715792,4.839789034,"C_S[2,2]",isolate,SNPV,GR,7,C,mod65,nu and C vary by morph + tree
5,3.212587424,1.021154289,0.005228091,2.555733528,3.994543503,0.928702996,4.830766564,"C_S[3,2]",isolate,SNPV,GR,8,C,mod65,nu and C vary by morph + tree
